ID,Anio,IVP,Salario Minimo,Concepto,TipoCT,Consecutivo,SIGAU,Especie,Tratamiento,Espacio,Estrato,Localidad,Latitud,Longitud,PAP,DAP,Altura Total,Altura Comercial,Diam. Copa Polar,Diam. Copa Ecuatorial,Perimetro basal,Estado fuste,Estado Copa,Estado Raiz,Estado FitoSanitario,Estado General,Riesgo,Interes patrimonial,Autorizado
374,2023,0.4581,1160000,2023EE69822,Infraestructura,SSFFS-69822,01366782675778,pino colombiano chaquiro,Conservar,Privado,3,USAQUEN,4.729136154204868,-74.03114973499213,1.6,5.03,17.04,7.94,7.02,0.97,5.53,5,4,5,4,Bueno,Bajo,No,ENEL
375,2025,0.4745,1423500,2025EE74025,Infraestructura,SSFFS-74025,05783601429419,acacia blanca leucaena,Tratamiento especial,Privado,3,USME,4.338669278338044,-74.10893116940215,1.36,4.27,16.69,1.56,3.76,9.78,4.7,3,3,3,2,Malo,Alto,No,JBB
376,2020,0.4379,877803,2020EE16832,Manejo,SSFFS-16832,19721744847437,foetinia,Poda estructural,Publico,4,CIUDAD BOLIVAR,4.482095710741537,-74.17712768901542,0.43,1.35,3.39,2.53,2.0,3.0,1.49,4,3,4,4,Regular,Medio,No,UAESP
377,2025,0.4745,1423500,2025EE58394,Infraestructura,SSFFS-58394,01885017511484,acacia negra,Poda control altura,Privado,4,USAQUEN,4.799281151726771,-74.0080973367587,114.03,358.24,28.24,4.59,6.75,56.92,394.06,3,2,3,5,Regular,Medio,No,ENEL
378,2024,0.4476,1300000,2024EE82929,Emergencia,SSFFS-82929,12798620709295,acacia sabanera,Poda realce,Privado,4,BARRIOS UNIDOS,4.655771527351528,-74.07301047436965,0.51,1.6,7.23,4.57,2.28,2.48,1.76,4,4,4,4,Bueno,Bajo,No,ENEL
379,2021,0.4379,908526,2021EE88960,Emergencia,SSFFS-88960,12504834346035,hiperico,Conservar,Privado,4,BARRIOS UNIDOS,4.666300554906633,-74.09011856616051,0.17,0.53,1.99,0.43,1.16,1.57,0.59,5,4,5,4,Bueno,Bajo,No,OTRO
380,2025,0.4745,1423500,2025EE58358,Infraestructura,SSFFS-58358,18771764773369,chocho,Poda radicular,Privado,5,RAFAEL URIBE URIBE,4.542429368565396,-74.10911466062464,0.26,0.82,10.8,4.18,2.38,7.63,0.9,4,4,2,4,Regular,Medio,No,IDU
381,2020,0.4379,877803,2020EE99337,Manejo,SSFFS-99337,10025279635238,urapan fresno,Poda control altura,Publico,5,ENGATIVA,4.718695451187855,-74.11752498606863,63.17,198.45,11.94,8.37,32.49,123.69,218.3,3,2,3,5,Regular,Medio,No,JBB
382,2025,0.4745,1423500,2025EE64614,Manejo,SSFFS-64614,04221675910938,tibar,Poda radicular,Privado,6,SAN CRISTOBAL,4.5702557532391594,-74.03890117400175,1.73,5.43,16.93,12.27,7.14,10.36,5.98,4,4,2,4,Regular,Medio,No,UAESP
383,2022,0.432,1000000,2022EE07904,Emergencia,SSFFS-07904,01048827018785,mermelada,Poda realce,Privado,2,USAQUEN,4.732389014202078,-74.02127283188555,0.17,0.53,5.43,2.05,4.33,4.53,0.59,4,4,4,4,Bueno,Bajo,No,UAESP
384,2024,0.4476,1300000,2024EE58663,Emergencia,SSFFS-58663,15797027194941,palma yuca palmiche,Traslado,Publico,3,ANTONIO NARIÑO,4.590946495644296,-74.09063918224568,2.23,7.01,8.01,5.56,3.3,4.9,7.71,4,4,5,4,Bueno,Bajo,No,EEAB
385,2020,0.4379,877803,2020EE63865,Infraestructura,SSFFS-63865,03811128378201,sauco,Poda estabilidad,Publico,3,SANTA FE,4.596022528831112,-74.06173112609379,79.36,249.32,41.82,11.29,25.45,17.13,274.25,3,2,3,4,Regular,Medio,No,JBB
386,2022,0.432,1000000,2022EE31003,Emergencia,SSFFS-31003,09269561626471,alcaparro doble,Poda radicular,Publico,1,FONTIBON,4.6995332420190685,-74.16290993277855,2.1,6.6,4.09,0.27,1.72,12.24,7.26,4,4,2,4,Regular,Medio,No,EEAB
387,2020,0.4379,877803,2020EE25121,Manejo,SSFFS-25121,06579202356614,cariseco,Tala,Privado,2,TUNJUELITO,4.588185948474896,-74.14705024513734,0.1,0.31,8.35,3.19,1.29,3.02,0.35,1,1,1,1,Muy Malo,Muy Alto,No,OTRO
388,2022,0.432,1000000,2022EE15540,Manejo,SSFFS-15540,03325183132684,cajeto,Poda estructural,Publico,3,SANTA FE,4.593131640692123,-74.0388199559076,1.48,4.65,1.94,1.06,4.27,5.33,5.11,4,3,4,4,Regular,Medio,No,EEAB
389,2020,0.4379,877803,2020EE97214,Emergencia,SSFFS-97214,14865145420717,mortillo,Poda realce,Privado,3,LOS MARTIRES,4.613924548413805,-74.0864862621258,0.31,0.97,6.76,2.85,1.76,1.36,1.07,4,4,4,4,Bueno,Bajo,No,UAESP
390,2025,0.4745,1423500,2025EE52064,Manejo,SSFFS-52064,09514313943081,tibar pagoda o rodamonte,Conservar,Privado,3,FONTIBON,4.684445425804808,-74.12483030174471,2.59,8.14,3.24,2.4,12.63,6.94,8.95,5,4,5,4,Bueno,Bajo,No,UAESP
391,2020,0.4379,877803,2020EE28205,Emergencia,SSFFS-28205,12569238412713,hojarasco,Poda estabilidad,Publico,6,BARRIOS UNIDOS,4.662942123308139,-74.09029598707444,0.23,0.72,5.38,2.48,2.63,5.77,0.79,3,2,3,4,Regular,Medio,No,OTRO
392,2022,0.432,1000000,2022EE26894,Infraestructura,SSFFS-26894,07866524577620,abutilon quesito,Poda realce,Privado,3,BOSA,4.6284485067589625,-74.21960942553427,0.15,0.47,3.19,2.35,1.92,2.32,0.52,4,4,4,4,Bueno,Bajo,No,UAESP
393,2021,0.4379,908526,2021EE04799,Manejo,SSFFS-04799,03698974613058,guayabo brasilero,Tratamiento especial,Privado,1,SANTA FE,4.595336496014171,-74.06016495615384,0.1,0.31,1.91,1.21,1.0,1.93,0.35,3,3,3,2,Malo,Alto,No,OTRO
394,2025,0.4745,1423500,2025EE32278,Emergencia,SSFFS-32278,03450726125051,fotinia,Poda estructural,Publico,6,SANTA FE,4.581332105096602,-74.0700749926096,0.18,0.57,4.25,1.18,3.33,2.7,0.62,4,3,4,4,Regular,Medio,No,ENEL
395,2024,0.4476,1300000,2024EE32090,Emergencia,SSFFS-32090,11505064527097,lupinus,Tratamiento especial,Privado,4,SUBA,4.728212377339004,-74.07864890580517,0.44,1.38,2.36,1.35,0.86,1.51,1.52,3,3,3,2,Malo,Alto,No,UAESP
396,2022,0.432,1000000,2022EE84142,Infraestructura,SSFFS-84142,02381174336410,acacia morada,Tala,Publico,2,CHAPINERO,4.651374340429803,-74.05638024243919,136.78,429.71,24.68,21.72,0.19,13.83,472.68,1,1,1,1,Muy Malo,Muy Alto,No,JBB
397,2020,0.4379,877803,2020EE81742,Manejo,SSFFS-81742,13233245396284,pino romeron,Poda radicular,Privado,1,TEUSAQUILLO,4.640357634719997,-74.07745213875236,3.68,11.56,5.26,0.17,6.74,6.57,12.72,4,4,2,4,Regular,Medio,No,ENEL
398,2020,0.4379,877803,2020EE12407,Manejo,SSFFS-12407,15588062269247,tabaquillo,Poda estructural,Publico,6,ANTONIO NARIÑO,4.584651913506298,-74.08992316497762,0.97,3.05,8.58,3.99,4.71,0.8,3.35,4,3,4,4,Regular,Medio,No,OTRO
399,2024,0.4476,1300000,2024EE76994,Manejo,SSFFS-76994,10892296667794,acacia,Poda radicular,Publico,6,ENGATIVA,4.733045517276307,-74.12005767492532,2.78,8.73,10.36,6.57,10.77,13.7,9.61,4,4,2,4,Regular,Medio,No,OTRO
400,2024,0.4476,1300000,2024EE19733,Emergencia,SSFFS-19733,18028732343502,raque san juanito,Tratamiento especial,Privado,1,RAFAEL URIBE URIBE,4.562788829303362,-74.11159181557127,0.34,1.07,4.14,0.68,1.56,1.42,1.17,3,3,3,2,Malo,Alto,No,JBB
401,2022,0.432,1000000,2022EE91387,Emergencia,SSFFS-91387,09474215252373,buganbil veranera,Tala,Privado,2,FONTIBON,4.688430499078847,-74.16561838647668,2.19,6.88,9.8,3.13,17.84,3.74,7.57,1,1,1,1,Muy Malo,Muy Alto,No,UAESP
402,2022,0.432,1000000,2022EE45976,Manejo,SSFFS-45976,03824237410696,mermelada,Poda realce,Privado,2,SANTA FE,4.619649330055081,-74.06142631748958,0.66,2.07,4.24,1.45,5.35,0.82,2.28,4,4,4,4,Bueno,Bajo,No,EEAB
403,2021,0.4379,908526,2021EE98323,Infraestructura,SSFFS-98323,14342941045721,canelo,Tratamiento especial,Publico,2,LOS MARTIRES,4.607022715779085,-74.08008097761481,0.67,2.1,8.09,0.15,5.21,2.73,2.32,3,3,3,2,Malo,Alto,No,JBB
404,2024,0.4476,1300000,2024EE94694,Emergencia,SSFFS-94694,01480494052029,garbancillo,Poda estabilidad,Publico,2,USAQUEN,4.780673918683904,-74.03796233574286,0.24,0.75,6.38,0.02,5.08,6.48,0.83,3,2,3,4,Regular,Medio,No,JBB
405,2021,0.4379,908526,2021EE44600,Manejo,SSFFS-44600,11092579694454,tuno,Poda estructural,Privado,1,SUBA,4.736820034027768,-74.08657395897555,0.34,1.07,2.4,1.95,4.04,0.79,1.17,4,3,4,4,Regular,Medio,No,UAESP
406,2024,0.4476,1300000,2024EE83605,Manejo,SSFFS-83605,13644535311008,palma de datiles,Tala,Publico,1,TEUSAQUILLO,4.644288567737295,-74.09916359566982,0.39,1.23,19.59,14.27,2.96,5.2,1.35,1,1,1,1,Muy Malo,Muy Alto,No,ENEL
407,2023,0.4581,1160000,2023EE06959,Infraestructura,SSFFS-06959,18927420249253,palma de yuca,Conservar,Privado,4,RAFAEL URIBE URIBE,4.5487112458863175,-74.1123905914958,7.91,24.85,0.7,0.23,5.31,1.45,27.34,5,4,5,4,Bueno,Bajo,No,UAESP
408,2025,0.4745,1423500,2025EE98148,Emergencia,SSFFS-98148,09104186487659,laurel de cera,Poda estructural,Privado,5,FONTIBON,4.65492575571603,-74.11922679806906,0.87,2.73,8.32,7.86,1.61,5.61,3.01,4,3,4,4,Regular,Medio,No,IDU
409,2020,0.4379,877803,2020EE11894,Infraestructura,SSFFS-11894,18287151203619,caucho,Poda radicular,Publico,6,RAFAEL URIBE URIBE,4.57194885278264,-74.12561147170801,0.64,2.01,15.45,0.93,7.06,7.37,2.21,4,4,2,4,Regular,Medio,No,UAESP
410,2020,0.4379,877803,2020EE38109,Manejo,SSFFS-38109,13929272826030,mandarina,Poda estabilidad,Privado,5,TEUSAQUILLO,4.625647765515356,-74.07255926430742,0.85,2.67,1.79,0.11,1.37,1.48,2.94,3,2,3,4,Regular,Medio,No,ENEL
411,2025,0.4745,1423500,2025EE52463,Emergencia,SSFFS-52463,06034808229542,pimiento negro,Traslado,Privado,2,TUNJUELITO,4.584954768918288,-74.14164811433224,1.03,3.24,6.0,3.36,2.94,3.0,3.56,4,4,5,4,Bueno,Bajo,No,JBB
412,2024,0.4476,1300000,2024EE82860,Emergencia,SSFFS-82860,02297771699452,guayabo del peru,Tala,Privado,4,CHAPINERO,4.644332254250651,-74.03426029281916,0.16,0.5,2.97,2.57,2.03,2.2,0.55,1,1,1,1,Muy Malo,Muy Alto,No,EEAB
413,2022,0.432,1000000,2022EE90046,Manejo,SSFFS-90046,10005297998722,caballero de la noche,Traslado,Publico,1,ENGATIVA,4.702778611644528,-74.09804109920704,0.66,2.07,15.18,7.18,3.78,6.6,2.28,4,4,5,4,Bueno,Bajo,No,IDU
414,2022,0.432,1000000,2022EE17406,Infraestructura,SSFFS-17406,18177110708631,pino de pacho,Conservar,Publico,6,RAFAEL URIBE URIBE,4.559265404422723,-74.10789739214138,10.25,32.2,8.33,4.27,60.84,20.81,35.42,5,4,5,4,Bueno,Bajo,No,JBB
415,2020,0.4379,877803,2020EE76621,Infraestructura,SSFFS-76621,07897007653205,amarrabollo,Traslado,Privado,2,BOSA,4.628164070419963,-74.19887477130912,0.91,2.86,7.25,3.7,7.84,4.79,3.14,4,4,5,4,Bueno,Bajo,No,JBB
416,2023,0.4581,1160000,2023EE64699,Manejo,SSFFS-64699,13032477447014,tomate de arbol,Tratamiento integral,Publico,4,TEUSAQUILLO,4.634486250117182,-74.0759121972362,0.08,0.25,3.7,3.64,2.32,2.61,0.28,2,2,2,2,Malo,Alto,No,OTRO
417,2022,0.432,1000000,2022EE63402,Infraestructura,SSFFS-63402,10431919289040,jazmin amarillo,Conservar,Publico,1,ENGATIVA,4.7154290973496975,-74.1373888468759,0.32,1.01,3.94,0.87,1.03,2.77,1.11,5,4,5,4,Bueno,Bajo,No,UAESP
418,2024,0.4476,1300000,2024EE36587,Manejo,SSFFS-36587,04901044227714,eucalipto manchado,Poda control altura,Privado,6,SAN CRISTOBAL,4.5480903716593994,-74.03222216684833,0.91,2.86,22.29,2.05,13.03,8.6,3.14,3,2,3,5,Regular,Medio,No,JBB
419,2021,0.4379,908526,2021EE39838,Manejo,SSFFS-39838,18148286962876,buganbil veranera,Poda estabilidad,Privado,1,RAFAEL URIBE URIBE,4.569575775153025,-74.10067830610059,1.46,4.59,16.1,4.28,4.21,8.34,5.05,3,2,3,4,Regular,Medio,No,JBB
420,2023,0.4581,1160000,2023EE99387,Manejo,SSFFS-99387,18439597752807,limon,Poda estructural,Privado,2,RAFAEL URIBE URIBE,4.570065846928577,-74.1116509831497,0.12,0.38,6.53,0.47,1.97,3.03,0.41,4,3,4,4,Regular,Medio,No,UAESP
421,2021,0.4379,908526,2021EE07147,Manejo,SSFFS-07147,06005024436633,chocho,Conservar,Privado,2,TUNJUELITO,4.567502595482737,-74.12811162907032,1.15,3.61,14.29,8.65,2.31,3.05,3.97,5,4,5,4,Bueno,Bajo,No,JBB
422,2020,0.4379,877803,2020EE61851,Emergencia,SSFFS-61851,06165317381391,tomate de arbol,Tratamiento especial,Publico,6,TUNJUELITO,4.556318954834053,-74.13250260461739,0.11,0.35,2.03,1.91,3.15,4.75,0.38,3,3,3,2,Malo,Alto,No,JBB
423,2020,0.4379,877803,2020EE03124,Emergencia,SSFFS-03124,02109928148185,chirimoyo,Tratamiento especial,Publico,2,CHAPINERO,4.6631239200776236,-74.05986788228894,0.86,2.7,1.41,1.36,1.64,6.48,2.97,3,3,3,2,Malo,Alto,No,ENEL
424,2024,0.4476,1300000,2024EE93847,Emergencia,SSFFS-93847,19472903269323,sangregado drago,Conservar,Publico,2,CIUDAD BOLIVAR,4.43770115047549,-74.16929038161031,0.07,0.22,1.04,0.83,34.46,1.61,0.24,5,4,5,4,Bueno,Bajo,Si,OTRO
425,2023,0.4581,1160000,2023EE08377,Emergencia,SSFFS-08377,12676960101002,ciruelo,Tratamiento integral,Privado,5,BARRIOS UNIDOS,4.663522876027154,-74.07449877334761,1.25,3.93,5.67,2.21,2.66,5.14,4.32,2,2,2,2,Malo,Alto,No,JBB
426,2024,0.4476,1300000,2024EE44804,Emergencia,SSFFS-44804,02042233385541,guayabo del peru,Tratamiento especial,Publico,6,CHAPINERO,4.651487756007507,-74.04898227617511,0.15,0.47,2.78,1.16,3.51,2.91,0.52,3,3,3,2,Malo,Alto,No,UAESP
427,2020,0.4379,877803,2020EE47117,Manejo,SSFFS-47117,10653456100810,salvio morado,Poda control altura,Privado,1,ENGATIVA,4.698877379920989,-74.09298316088507,0.19,0.6,4.82,4.18,28.35,0.33,0.66,3,2,3,5,Regular,Medio,No,JBB
428,2024,0.4476,1300000,2024EE84255,Infraestructura,SSFFS-84255,01200398077070,mermelada,Conservar,Publico,5,USAQUEN,4.715900382367736,-74.0440900721917,0.34,1.07,4.91,1.01,0.83,1.79,1.17,5,4,5,4,Bueno,Bajo,No,UAESP
429,2024,0.4476,1300000,2024EE60749,Infraestructura,SSFFS-60749,07629635633225,urapan fresno,Poda estabilidad,Publico,6,BOSA,4.636937442993934,-74.2143882568107,41.82,131.38,27.22,2.25,23.09,416.09,144.52,3,2,3,4,Regular,Medio,No,OTRO
430,2022,0.432,1000000,2022EE62590,Manejo,SSFFS-62590,18330210224096,rosa,Poda realce,Privado,2,RAFAEL URIBE URIBE,4.578535605663381,-74.12522960160727,0.09,0.28,1.79,0.75,3.44,4.75,0.31,4,4,4,4,Bueno,Bajo,No,ENEL
431,2022,0.432,1000000,2022EE07215,Manejo,SSFFS-07215,10889287727337,jazmin del cabo,Poda radicular,Publico,5,ENGATIVA,4.676524053639719,-74.10818281501498,72.34,227.26,53.57,25.2,37.33,45.85,249.99,4,4,2,4,Regular,Medio,No,JBB
432,2021,0.4379,908526,2021EE83022,Infraestructura,SSFFS-83022,03029534193319,laurel de cera,Conservar,Privado,4,SANTA FE,4.597128965944753,-73.99789271237782,0.69,2.17,3.39,1.96,2.14,2.19,2.38,5,4,5,4,Bueno,Bajo,No,UAESP
433,2022,0.432,1000000,2022EE83164,Manejo,SSFFS-83164,05047031745215,mimbre,Tratamiento especial,Publico,4,USME,4.381908242018081,-74.1215775869561,1.75,5.5,3.22,2.05,2.22,6.01,6.05,3,3,3,2,Malo,Alto,No,OTRO
434,2025,0.4745,1423500,2025EE42895,Manejo,SSFFS-42895,05418934396359,abutilon quesito,Poda radicular,Privado,6,USME,4.352820312171364,-74.17713881214127,0.17,0.53,2.1,1.89,1.4,2.4,0.59,4,4,2,4,Regular,Medio,No,ENEL
435,2024,0.4476,1300000,2024EE15636,Manejo,SSFFS-15636,06945780184418,amarguero amarillo,Poda control altura,Privado,2,TUNJUELITO,4.584108137479113,-74.14701970658398,0.72,2.26,6.0,2.59,2.0,2.0,2.49,3,2,3,5,Regular,Medio,No,JBB
436,2021,0.4379,908526,2021EE07463,Infraestructura,SSFFS-07463,03059419710644,pimiento negro,Traslado,Privado,5,SANTA FE,4.602112525156818,-74.05179809817115,1.06,3.33,6.0,5.58,2.95,3.0,3.66,4,4,5,4,Bueno,Bajo,No,JBB
437,2021,0.4379,908526,2021EE42917,Emergencia,SSFFS-42917,08220209617894,corono,Poda control altura,Privado,5,KENNEDY,4.630935924154828,-74.1256446048175,3.27,10.27,8.61,6.37,72.27,82.2,11.3,3,2,3,5,Regular,Medio,No,EEAB
438,2021,0.4379,908526,2021EE55449,Emergencia,SSFFS-55449,17876896117627,pino montezuma,Poda estructural,Publico,5,CANDELARIA,4.601457374377012,-74.06661607683627,3.32,10.43,18.71,0.66,5.53,5.36,11.47,4,3,4,4,Regular,Medio,No,EEAB
439,2023,0.4581,1160000,2023EE47172,Emergencia,SSFFS-47172,02781923073610,cayeno,Conservar,Privado,1,CHAPINERO,4.653781836339357,-74.0549806150307,0.22,0.69,5.72,4.2,1.42,8.35,0.76,5,4,5,4,Bueno,Bajo,No,JBB
440,2020,0.4379,877803,2020EE29264,Emergencia,SSFFS-29264,01799166872180,yolombo,Tratamiento especial,Publico,2,USAQUEN,4.81803061601517,-74.01151662683907,0.76,2.39,2.8,0.65,4.0,4.0,2.63,3,3,3,2,Malo,Alto,No,OTRO
441,2020,0.4379,877803,2020EE02515,Infraestructura,SSFFS-02515,07445606846585,caballero de la noche,Poda radicular,Publico,6,BOSA,4.632724725557783,-74.18654782025594,0.74,2.32,9.94,0.15,2.27,2.78,2.56,4,4,2,4,Regular,Medio,No,JBB
442,2020,0.4379,877803,2020EE62193,Emergencia,SSFFS-62193,18639230124838,cucharo espadero,Tratamiento especial,Privado,4,RAFAEL URIBE URIBE,4.563997411488249,-74.12262394050238,0.29,0.91,3.0,2.02,1.0,1.0,1.0,3,3,3,2,Malo,Alto,No,UAESP
443,2024,0.4476,1300000,2024EE71115,Infraestructura,SSFFS-71115,19231847222734,punta de lanza,Poda control altura,Privado,5,CIUDAD BOLIVAR,4.507921689679274,-74.13181543052359,0.31,0.97,2.0,1.4,2.0,1.0,1.07,3,2,3,5,Regular,Medio,No,ENEL
444,2020,0.4379,877803,2020EE22509,Emergencia,SSFFS-22509,19360916730823,sauce,Poda estabilidad,Publico,1,CIUDAD BOLIVAR,4.529298853510886,-74.15806871998797,0.67,2.1,12.56,0.5,6.9,2.39,2.32,3,2,3,4,Regular,Medio,No,ENEL
445,2021,0.4379,908526,2021EE74438,Emergencia,SSFFS-74438,18968907074834,olivo,Poda aclareo,Privado,1,RAFAEL URIBE URIBE,4.541511829144568,-74.11343955095073,0.45,1.41,8.43,5.03,4.67,5.1,1.56,4,3,4,5,Bueno,Bajo,No,JBB
446,2020,0.4379,877803,2020EE60913,Emergencia,SSFFS-60913,08019252780337,eucalipto pomarroso,Poda realce,Privado,3,KENNEDY,4.622729898710035,-74.15685233183555,16.41,51.55,18.09,1.87,12.38,13.94,56.71,4,4,4,4,Bueno,Bajo,No,OTRO
447,2024,0.4476,1300000,2024EE64756,Emergencia,SSFFS-64756,06572708165102,fucsia arbustiva,Poda realce,Publico,4,TUNJUELITO,4.561367222919989,-74.13440807971371,0.1,0.31,4.59,3.74,3.57,0.53,0.35,4,4,4,4,Bueno,Bajo,No,UAESP
448,2020,0.4379,877803,2020EE41349,Emergencia,SSFFS-41349,14521699683832,borrachero blanco,Poda radicular,Privado,5,LOS MARTIRES,4.595662745751654,-74.0870742862683,0.45,1.41,3.17,2.75,1.16,2.2,1.56,4,4,2,4,Regular,Medio,Si,JBB
449,2021,0.4379,908526,2021EE18840,Infraestructura,SSFFS-18840,11821144827266,cariseco,Poda radicular,Publico,2,SUBA,4.735807696718891,-74.09322511975556,0.4,1.26,6.0,0.56,2.13,2.39,1.38,4,4,2,4,Regular,Medio,No,UAESP
450,2021,0.4379,908526,2021EE15618,Emergencia,SSFFS-15618,02704495185162,eucalipto pomarroso,Poda radicular,Privado,5,CHAPINERO,4.62461339571311,-74.0408446767767,36.91,115.96,23.8,5.65,0.32,2.38,127.55,4,4,2,4,Regular,Medio,No,IDU
451,2021,0.4379,908526,2021EE85083,Emergencia,SSFFS-85083,08761244529060,laurel huesito,Poda radicular,Privado,5,KENNEDY,4.608950645203006,-74.1621602213005,0.21,0.66,6.14,2.61,8.2,11.51,0.73,4,4,2,4,Regular,Medio,No,JBB
452,2022,0.432,1000000,2022EE13255,Infraestructura,SSFFS-13255,11967130413632,tomate de arbol,Poda estabilidad,Privado,5,SUBA,4.815037240758395,-74.0389056260488,0.09,0.28,3.84,2.84,0.77,2.35,0.31,3,2,3,4,Regular,Medio,No,ENEL
453,2022,0.432,1000000,2022EE79076,Infraestructura,SSFFS-79076,10376590326656,eucalipto comun,Traslado,Publico,6,ENGATIVA,4.704906346410225,-74.09936300692596,8.28,26.01,20.16,3.04,5.43,309.22,28.61,4,4,5,4,Bueno,Bajo,No,JBB
454,2024,0.4476,1300000,2024EE06757,Emergencia,SSFFS-06757,09258715608980,cerezo capuli,Tala,Publico,2,FONTIBON,4.710381938251904,-74.15137467767386,14.99,47.09,28.28,11.92,39.88,26.28,51.8,1,1,1,1,Muy Malo,Muy Alto,No,JBB
455,2025,0.4745,1423500,2025EE43297,Manejo,SSFFS-43297,09924862082059,jazmin amarillo,Conservar,Privado,6,FONTIBON,4.6695322585798325,-74.12576122645076,0.27,0.85,2.15,0.33,1.72,2.54,0.93,5,4,5,4,Bueno,Bajo,No,JBB
456,2024,0.4476,1300000,2024EE39895,Infraestructura,SSFFS-39895,16549227229527,palma roebeleni,Poda aclareo,Privado,1,PUENTE ARANDA,4.613637385787984,-74.1005026484472,1.47,4.62,26.7,25.72,4.83,5.95,5.08,4,3,4,5,Bueno,Bajo,No,UAESP
457,2021,0.4379,908526,2021EE21327,Manejo,SSFFS-21327,09525802958689,amarguero amarillo,Poda radicular,Publico,5,FONTIBON,4.687722701792567,-74.16488012824652,0.72,2.26,6.0,4.9,2.0,2.0,2.49,4,4,2,4,Regular,Medio,No,ENEL
458,2023,0.4581,1160000,2023EE19223,Manejo,SSFFS-19223,13453461457251,yuca palma yuca,Poda control altura,Privado,3,TEUSAQUILLO,4.6580581044287,-74.08814994041528,0.88,2.76,9.0,1.53,3.03,4.74,3.04,3,2,3,5,Regular,Medio,No,UAESP
459,2021,0.4379,908526,2021EE36621,Manejo,SSFFS-36621,15337301635710,endrino,Traslado,Privado,4,ANTONIO NARIÑO,4.59098766633912,-74.11895603715672,0.6,1.88,7.07,6.47,8.61,3.44,2.07,4,4,5,4,Bueno,Bajo,No,ENEL
460,2024,0.4476,1300000,2024EE31299,Manejo,SSFFS-31299,04690016951533,magnolio,Poda estructural,Publico,5,SAN CRISTOBAL,4.562466900632249,-74.10420880924136,2.34,7.35,23.91,16.66,11.83,15.4,8.09,4,3,4,4,Regular,Medio,No,JBB
461,2023,0.4581,1160000,2023EE49573,Infraestructura,SSFFS-49573,07953966253718,poligala,Poda radicular,Privado,6,BOSA,4.6102650613439415,-74.21208712184142,0.01,0.03,3.05,1.37,3.11,2.73,0.03,4,4,2,4,Regular,Medio,No,OTRO
462,2021,0.4379,908526,2021EE96832,Manejo,SSFFS-96832,07831174671904,abutilon quesito,Poda radicular,Publico,5,BOSA,4.6104085057373245,-74.18416839195885,0.18,0.57,3.78,2.97,1.97,2.22,0.62,4,4,2,4,Regular,Medio,No,OTRO
463,2023,0.4581,1160000,2023EE25737,Infraestructura,SSFFS-25737,18106259564634,dalia,Tala,Publico,3,RAFAEL URIBE URIBE,4.560126728041753,-74.10767162834351,0.14,0.44,5.21,2.28,1.48,4.14,0.48,1,1,1,1,Muy Malo,Muy Alto,No,UAESP
464,2024,0.4476,1300000,2024EE93683,Manejo,SSFFS-93683,17909839329263,ceiba de tierra fria,Poda control altura,Privado,3,CANDELARIA,4.593317676088508,-74.07422617071987,0.87,2.73,9.77,9.65,2.25,2.72,3.01,3,2,3,5,Regular,Medio,No,UAESP
465,2020,0.4379,877803,2020EE92581,Manejo,SSFFS-92581,02721699484757,acacia baracatinga,Poda control altura,Publico,5,CHAPINERO,4.625662399677061,-74.03595068497856,42.95,134.93,32.59,29.36,13.05,6.07,148.42,3,2,3,5,Regular,Medio,Si,JBB
466,2023,0.4581,1160000,2023EE53235,Emergencia,SSFFS-53235,11663587482674,nispero,Traslado,Publico,4,SUBA,4.781660273424927,-74.09344471171714,0.75,2.36,9.0,1.44,5.0,8.0,2.59,4,4,5,4,Bueno,Bajo,No,UAESP
467,2022,0.432,1000000,2022EE98503,Infraestructura,SSFFS-98503,07622351087332,arbol de te,Tratamiento integral,Privado,5,BOSA,4.6157789639397855,-74.18411929518383,0.01,0.03,1.57,0.79,1.0,0.5,0.03,2,2,2,2,Malo,Alto,Si,JBB
468,2025,0.4745,1423500,2025EE69319,Infraestructura,SSFFS-69319,08067726279906,araucaria crespa,Poda radicular,Privado,6,KENNEDY,4.630491958394438,-74.16594536504437,103.7,325.78,5.19,5.13,1.16,16.3,358.36,4,4,2,4,Regular,Medio,No,ENEL
469,2025,0.4745,1423500,2025EE31310,Manejo,SSFFS-31310,15617075217796,almanegra,Poda radicular,Publico,2,ANTONIO NARIÑO,4.582671601446761,-74.10317224777683,0.1,0.31,3.1,1.99,3.07,3.65,0.35,4,4,2,4,Regular,Medio,No,UAESP
470,2025,0.4745,1423500,2025EE23876,Manejo,SSFFS-23876,07392549620387,balazo,Tratamiento especial,Privado,2,BOSA,4.63608387287747,-74.20459958855112,0.04,0.13,1.0,0.51,1.0,2.0,0.14,3,3,3,2,Malo,Alto,No,EEAB
471,2025,0.4745,1423500,2025EE39037,Manejo,SSFFS-39037,06983084959631,arce,Tratamiento integral,Publico,6,TUNJUELITO,4.593595888625791,-74.15279882712257,1.84,5.78,9.92,6.26,6.6,11.9,6.36,2,2,2,2,Malo,Alto,No,IDU
472,2024,0.4476,1300000,2024EE61747,Emergencia,SSFFS-61747,09779623796077,raque san juanito,Tratamiento integral,Privado,5,FONTIBON,4.700718301762253,-74.13985279969428,0.42,1.32,1.8,1.33,2.5,2.59,1.45,2,2,2,2,Malo,Alto,No,OTRO
